"id","title","kind","category","entry_chars","wikipedia_source_count","wikipedia_titles","coverage_score","title_match_score","needs_rewrite","review_status","source_errors","wikipedia_urls"
"historical-vol","Historical Volatility","İndikatör","Risk / Volatilite","4722","1","Volatility (finance)","21,4","50","False","pass","","https://en.wikipedia.org/wiki/Volatility_(finance)"
"hma","HMA — Hull Moving Average","İndikatör","Trend","6038","2","Moving average | Technical indicator","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"ichimoku","Ichimoku Cloud","İndikatör","Trend","5888","2","Ichimoku Kinkō Hyō | Technical analysis","7,5","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Ichimoku_Kink%C5%8D_Hy%C5%8D https://en.wikipedia.org/wiki/Technical_analysis"
"implied-volatility","Implied Volatility","Opsiyon","Volatilite","2172","3","Implied volatility | Technical analysis | Trading strategy","17,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Implied_volatility https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"kama","KAMA — Kaufman Adaptive Moving Average","İndikatör","Trend / Adaptif Ortalama","6380","2","Moving average | Technical indicator","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"kelly-criterion","Kelly Criterion","Pozisyon Boyutu","Risk / Matematik","2547","3","Kelly criterion | Technical analysis | Trading strategy","10","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Kelly_criterion https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"keltner","Keltner Channel","İndikatör","Risk / Volatilite","6177","5","Average true range | Drawdown (economics) | Moving average | Technical indicator | Volatility (finance)","30","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_true_range https://en.wikipedia.org/wiki/Drawdown_(economics) https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator https://en.wikipedia.org/wiki/Volatility_(finance)"
"klinger","Klinger Oscillator","İndikatör","Hacim","6308","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"likidite","Likidite","Kavram","","3933","2","Technical analysis | Technical indicator","17,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"liquidity","Likidite","Kavram","Piyasa Mikro Yapısı","2212","3","Market liquidity | Technical analysis | Trading strategy","20","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Market_liquidity https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"limit-order","Limit Order","Emir Tipi","Emir / Uygulama","2694","3","Order (exchange) | Technical analysis | Trading strategy","10","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Order_(exchange)#Limit_order https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"linear-regression","Linear Regression Channel","İndikatör","Trend","6155","2","Moving average | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"lookahead-bias","Lookahead Bias","Kavram","","4100","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"macd","MACD","İndikatör","Momentum","5973","3","MACD | Moving average | Technical indicator","17,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/MACD https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"mansfield-rs","Mansfield Relative Strength","İndikatör","Piyasa Genişliği","6238","3","Moving average | Technical analysis | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"market-depth","Market Depth","Kavram","Piyasa Mikro Yapısı","2226","3","Market depth | Technical analysis | Trading strategy","10","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Market_depth https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"market-order","Market Order","Emir Tipi","Emir / Uygulama","2717","3","Order (exchange) | Technical analysis | Trading strategy","10","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Order_(exchange)#Market_order https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"mcclellan","McClellan Oscillator","İndikatör","Piyasa Genişliği","6145","3","Moving average | Technical analysis | Technical indicator","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"mcginley-dynamic","McGinley Dynamic","İndikatör","Trend / Adaptif Ortalama","6267","2","Moving average | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"mean-reversion","Mean Reversion","Kavram","","4054","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"mfi","MFI — Money Flow Index","İndikatör","Hacim","4978","3","Money flow index | Technical indicator | Typical price","22,5","80","False","pass","","https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Technical_indicator https://en.wikipedia.org/wiki/Typical_price"
"momentum-kavram","Momentum","Kavram","","4264","3","Relative strength index | Stochastic oscillator | Technical analysis","20","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_analysis"
"momentum","Momentum Indicator","İndikatör","Momentum","5328","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","20","50","False","pass","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"monte-carlo","Monte Carlo Analizi","Kavram","","4247","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"morning-evening-star","Morning Star / Evening Star","Mum Formasyonu","Candlestick","2442","3","Candlestick pattern | Technical analysis | Trading strategy","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Candlestick_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
